Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team B - Player 1,Team B - Player 2,Team B - Player 3
Pool Play,Premier 5.0+,Pool J,1,Single game,Chelsea United,Couldn't Carry less,Chelsea United,21,16,,,,,Josh Fragiacomo,Ethan Zehr,,Slade Warner,Arrow Griner,
Pool Play,Premier 5.0+,Pool J,1,Single game,BorderLine,Disordered,Disordered,18,21,,,,,Kaleb Wagner,Trey Thompson,,Solomon Berry,Andrew Greer,
Pool Play,Premier 5.0+,Pool A,2,Single game,Judgment Day,TRP Mermaid Sparkle,Judgment Day,21,19,,,,,fredric hinkle,Gabriel Finocchi,,Noah Luskus,Christian Bennett,
Pool Play,Premier 5.0+,Pool A,2,Single game,Bad Combo,Morgan/Mowry,Morgan/Mowry,16,21,,,,,Rahul Murthy,Will Picone,,Dawson Morgan,Luke Mowry,
Pool Play,Premier 5.0+,Pool B,2,Single game,Assistive Touch,Insystem,Insystem,14,21,,,,,Clark Marshall,Buddy Hammon,,Blake Bosak,Etienne Cote,
Pool Play,Premier 5.0+,Pool B,2,Single game,TRP Spotless,Cigar Boys,TRP Spotless,21,19,,,,,Joe Bondi,Ryan Gross,,Grant Laughlin,Dan Abrams,
Pool Play,Premier 5.0+,Pool C,2,Single game,TRP Moneyline,here to slay,TRP Moneyline,21,11,,,,,Ryder Rivadeneyra,Matthew Cole,,Dax O'Hair,bradley thompson,
Pool Play,Premier 5.0+,Pool C,2,Single game,Edgerunners,Lanky and Clanky,Edgerunners,23,21,,,,,Chase Meyer,Clifton Miller,,Grant Gouger,Jesse Lehn,
Pool Play,Premier 5.0+,Pool D,2,Single game,Not.Ok,Hot‘n‘cold,Not.Ok,21,13,,,,,Xande Plaisted,Anthony Clifford,,Trent Alderfer,Cody Brower,
Pool Play,Premier 5.0+,Pool D,2,Single game,Native Texans,Moon Boys,Native Texans,21,18,,,,,Dylan Bricker,Grayson M  Wills,,Jordan Freitas,Conner Bradshaw,
Pool Play,Premier 5.0+,Pool E,2,Single game,Quality Service,BenDu Over,Quality Service,22,20,,,,,Jacob Payer,Andrew Kosche,,Michael Du,Benjamin Banuelos,
Pool Play,Premier 5.0+,Pool E,2,Single game,NK.,Teenage Dirtbags,NK.,21,16,,,,,kevin um,Nick Wideman,,Taylor Sanford,Kannon Forbush,
Pool Play,Premier 5.0+,Pool F,2,Single game,WySpike Synergy,Dialed,Dialed,20,22,,,,,Matthew Burrows,Nick Noguez,,Luke Pennington,Josh Cain,
Pool Play,Premier 5.0+,Pool F,2,Single game,Ball Blasters,Burqueños,Ball Blasters,21,11,,,,,David Gonzales,Rendall Weaver,,Luke Freimanis,Daniel Blodgett,
