Year,Date,For Model Use,Type,URL identifier,full URL,Scraped?,Fwango File Title,Open Division 1,Open Division 2,Open Division 3,Women Division 1,Women Division 2,tourney
2022,6/4/2022,X,Challenger,sts22atlantaga,https://fwango.io/sts22atlantaga,X,NA,Premier 5.0+,Contender 4.5+,NA,Women's Advanced 4.0+,NA,STS22ATLANTAGA
2022,6/11/2022,X,Challenger,sts22philadelphiapa,https://fwango.io/sts22philadelphiapa,X,NA,Premier 5.0+,Contender 4.5+,NA,Women's Advanced 4.0+,NA,STS22PHILADELPHIAPA
2022,6/18/2022,X,Challenger,sts22raleighnc,https://fwango.io/sts22raleighnc,X,NA,Premier 5.0+,Contender 4.5+,NA,Women's Advanced 4.0+,NA,STS22RALEIGHNC
2022,7/2/2022,NA,Challenger,bcroundnet,https://fwango.io/bcroundnet,X,NA,Premier 5.0+,Contender 4.5+,NA,Women's Advanced 4.0+,NA,BCROUNDNET
2022,7/2/2022,NA,Challenger,parisspikeballchallenger,https://fwango.io/parisspikeballchallenger,NA,NA,NA,NA,NA,NA,NA,PARISSPIKEBALLCHALLENGER
2022,7/9/2022,X,Challenger,sts22chicagoil,https://fwango.io/sts22chicagoil,X,NA,Premier 5.0+,Contender 4.5+,NA,Women's Advanced 4.0+,NA,STS22CHICAGOIL
2022,7/16/2022,X,Major,sts22bostonma,https://fwango.io/sts22bostonma,X,NA,Premier - Field 4,Contender - 12:30 BRACKET!,NA,Women's Advanced - Field 3,NA,STS22BOSTONMA
2022,7/16/2022,NA,Major,yeg-isd2022,https://fwango.io/yeg-isd2022,NA,NA,NA,NA,NA,NA,NA,YEG-ISD2022
2022,7/30/2022,X,Challenger,sts22orangecountyca,https://fwango.io/sts22orangecountyca,X,NA,Premier 5.0+,Contender 4.5+,NA,Women's Advanced 4.0+,NA,STS22ORANGECOUNTYCA
2022,7/30/2022,NA,Challenger,ststoronto,https://fwango.io/ststoronto,NA,NA,NA,NA,NA,NA,NA,STSTORONTO
2022,7/30/2022,X,USAR Sanctioned,ers22ct,https://fwango.io/ers22ct,X,NA,Open 4.5-5.0,NA,NA,NA,NA,ERS22CT
2022,8/6/2022,X,Challenger,sts22saltlakecityut,https://fwango.io/sts22saltlakecityut,X,NA,Premier 5.0+,Contender 4.5+,NA,Women's Advanced 4.0+,NA,STS22SALTLAKECITYUT
2022,8/13/2022,X,Major,sts22columbusoh,https://fwango.io/sts22columbusoh,X,NA,Premier 5.0+,Contender - START AT 1,NA,Women's Advanced 4.0+,NA,STS22COLUMBUSOH
2022,8/20/2022,X,USAR Sanctioned,ers22dc,https://fwango.io/ers22dc,X,NA,Open 4.5-5.0,NA,NA,NA,NA,ERS22DC
2022,8/27/2022,NA,Challenger,sts22gent,https://fwango.io/sts22gent,NA,NA,NA,NA,NA,NA,NA,STS22GENT
2022,9/24/2022,X,USAR Sanctioned,dallas2022,https://fwango.io/dallas2022,X,NA,Gold 5.0,NA,NA,NA,NA,DALLAS2022
2022,10/15/2022,X,USAR Sanctioned,austin2022,https://fwango.io/austin2022,X,NA,Gold 5.0,NA,NA,NA,NA,AUSTIN2022
2022,10/22/2022,X,Championship,2022championship,https://fwango.io/2022championship,X,NA,Pro,Premier 5.0+,Contender 4.5+,Women's Advanced 4.0+,NA,2022CHAMPIONSHIP
2022,12/3/2022,X,USAR Sanctioned,texasnationals,https://fwango.io/texasnationals,X,NA,Platinum 5.5,Gold 5.0,NA,NA,NA,TEXASNATIONALS
2023,2/18/2023,X,USAR Sanctioned,waco2023,https://fwango.io/waco2023,Manual Download,Waco Major - Match results,Gold 5.0,NA,NA,NA,NA,WACO2023
2023,3/18/2023,X,USAR Sanctioned,casropen,https://fwango.io/casropen,Manual Download,Stanton Open #1 - California Roundnet - Match results,Expert 5.0,NA,NA,Womens 4.5,NA,CASROPEN
2023,4/1/2023,X,USAR Sanctioned,open2,https://fwango.io/open2,Manual Download,San Jose Open #2 -California Roundnet - Match results,Expert 4.0-5.0,NA,NA,NA,NA,OPEN2
2023,4/1/2023,X,USAR Sanctioned,fl-roundnet-open-23,https://fwango.io/fl-roundnet-open-23,Manual Download,Florida Roundnet Open - Spikeball Challenger 2023 - Match results,Premier (5.0),NA,NA,Women's (3.0-5.0),NA,FL-ROUNDNET-OPEN-23
2023,4/15/2023,X,Major,richmond2023,https://fwango.io/richmond2023,Manual Download,The Richmond Major 2023 - Match results,Premier 5.0+,Contender 4.5+,NA,Women's Advanced 4.0+,NA,RICHMOND2023
2023,4/29/2023,X,USAR Sanctioned,tasr-houston-major,https://fwango.io/tasr-houston-major,Manual Download,TASR Houston Major - Match results,Gold 5.0,NA,NA,NA,NA,TASR-HOUSTON-MAJOR
2023,5/6/2023,X,USAR Sanctioned,tograndslam2023,https://fwango.io/tograndslam2023,Manual Download,The Thousand Oaks Grand Slam - Spikeball Challenger 2023 - Match results,Expert 5.0+,NA,NA,Womens 4.0+,NA,TOGRANDSLAM2023
2023,6/3/2023,X,Major,saltlakecity2023,https://fwango.io/saltlakecity2023,Manual Download,The Salt Lake City Major 2023 - Match results,Premier 5.0+,Contender 4.5+,NA,Women's Advanced 4.0+,NA,SALTLAKECITY2023
2023,6/10/2023,X,Challenger,scgrandslam2023,https://fwango.io/scgrandslam2023,Manual Download,The Santa Cruz Grand Slam - Spikeball Challenger - Match results,Expert 5.0+,NA,NA,Womens 4.0+,NA,SCGRANDSLAM2023
2023,6/17/2023,X,Challenger,queencityclassic2023,https://fwango.io/queencityclassic2023,Manual Download,Queen City Classic - Spikeball Challenger 2023 - Match results,Premier 5.0+,NA,NA,Womens Advanced 4.0+,NA,QUEENCITYCLASSIC2023
2023,6/17/2023,X,Challenger,sdgrandslam2023,https://fwango.io/sdgrandslam2023,Manual Download,The San Diego Grand Slam - Spikeball Challenger 2023 - Match results,Expert 5.0+,NA,NA,Womens 4.0+,NA,SDGRANDSLAM2023
2023,6/24/2023,X,Challenger,ers23nova,https://fwango.io/ers23nova,Manual Download,The NOVA Clash _ Spikeball Challenger 2023 _ DAY 1 - Match results,5.0+ Premier (Open),NA,NA,4.0+ Women's Advanced,NA,ERS23NOVA
2023,7/1/2023,X,Challenger,sts23portlandopen,https://fwango.io/sts23portlandopen,Manual Download,The Portland Open - Spikeball Challenger 2023 - Match results,Premier 5.0+,NA,NA,Women's Advanced 4.0+,NA,STS23PORTLANDOPEN
2023,7/8/2023,X,Challenger,long-island-classic-2023,https://fwango.io/long-island-classic-2023,Manual Download,Long Island Classic - Spikeball Challenger 2023 - Match results,Premier (5.0+),NA,NA,Women's 4.0,NA,LONG-ISLAND-CLASSIC-2023
2023,7/8/2023,X,USAR Sanctioned,open3,https://fwango.io/open3,Manual Download,Los Angeles Open #3 -California Roundnet - Match results,Expert 5.0,NA,NA,NA,NA,OPEN3
2023,7/8/2023,X,Challenger,windy-city-classic-23,https://fwango.io/windy-city-classic-23,Manual Download,Windy City Classic-Spikeball Challenger 2023 - Match results,Premier(5.0),NA,NA,Women's,NA,WINDY-CITY-CLASSIC-23
